                                Area Percent Report

  Data File    C:\HPCHEM\1\DATTAMIL4296.D                       Vial: 1
  Acq On        7 Dec 16 15:35                              Operator:
  Sample       Floris D virilis 10 X cone                   Inst     : GC/MS Ins
  Misc         Chung 2                                      Multiplr: 1.00 
                                                      Sample Amount: 0.00
  MS Integration Params: EVENTS.E

  Method     : C:\HPCHEM\1\METHODS\40110280.M (Chemstation Integrator)
  Title

  Signal     : TIC
peak   R.T.  first  max last   PK    peak       raw        corr.   corr.     % of 
   #   min    scan scan scan   TY   height      area       area    % max.    total


  1  18.106   2042 2052  2070 PV5    23228     922621     808263    2.17%   0.394%
  2  18.912   2155 2179  2208 PV2   652003   25487817   25275052  67.70%   12.316%
  3  19.141   2208 2215  2226 VV2    27265    1256292    1138921    3.05%   0.555%
  4  19.280   2226 2237  2240 VV8    33119    1152975    1073809    2.88%   0.523%
  5  19.350   2240 2248  2278 VV5    54779    3182982    2793790    7.48%   1.361%
  6  20.733   2445 2466  2489 PV6    60564    3132391    2954581    7.91%   1.440%
  7  21.812   2613 2636  2670 BV3   185811    7782431    7556126  20.24%    3.682%
  8  22.554   2734 2753  2755 PV3   306967    7869036    7780823  20.84%    3.792%
  9  22.573   2755 2756  2771 VV5   296524   12234525   11277616  30.21%    5.496%
10   22.700   2771 2776  2782 VV5   105914    4177899    3932025  10.53%    1.916%
11   22.783   2782 2789  2797 VV6   115918    5271027    4996060  13.38%    2.435%
12   22.979   2808 2820  2828 VV4   224054    9481279    9249769  24.78%    4.507%
13   23.055   2828 2832  2872 VV10    91807    6511814    5569897   14.92%   2.714%
14   24.312   3010 3030  3042 BV8    22620     953215     826976    2.22%   0.403%
15   24.439   3047 3050  3051 VV3     2458      55747      22431    0.06%   0.011%
16   25.371   3168 3197  3221 PV    880579   37574620   37332766 100.00%   18.192%
17   25.530   3221 3222  3235 VV9    25237     724272     555240    1.49%   0.271%
18   26.056   3290 3305  3312 BV6   138899    5754504    5637132  15.10%    2.747%
19   26.171   3312 3323  3334 VV6   185307   10393340    9935423  26.61%    4.841%
20   26.298   3334 3343  3358 VV5   274049   13316741   12766584  34.20%    6.221%
21   26.399   3358 3359  3363 VV4    36744     709129     614934    1.65%   0.300%
22   26.469   3363 3370  3380 VV4    35164    1726253    1464478    3.92%   0.714%
23   28.683   3688 3719  3748 BV3   345012   18284201   17989079  48.19%    8.766%
24   28.880   3748 3750  3758 VV9    26915     865401     762747    2.04%   0.372%
25   28.937   3758 3759  3790 VV9    17367    1368209    1058157    2.83%   0.516%
26   29.476   3829 3844  3859 VV9    48802    3580861    3301792    8.84%   1.609%
27   29.603   3859 3864  3872 VV9    12268     540410     397267    1.06%   0.194%
28   31.805   4194 4211  4226 PV7    35646    1918513    1725396    4.62%   0.841%
29   32.179   4258 4270  4291 VV6    68309    3407582    3159621    8.46%   1.540%
30   32.617   4305 4339  4358 PV6   109571    9640974    9202661  24.65%    4.484%
31   32.877   4358 4380  4395 VV9   139793   10784946   10109160  27.08%    4.926%
32   32.985   4395 4397  4412 VV9    40330    1908004    1544809    4.14%   0.753%
33   33.087   4412 4413  4415 VV2     6986     114376      59238    0.16%   0.029%
34   35.827   4831 4845  4851 VV2    14170     836041     674625    1.81%   0.329%
35   36.164   4879 4898  4918 PV2    20891    1993096    1667129    4.47%   0.812%
