                             Area Percent Report

 Data File   C:\HPCHEM\1\DATA\MIL4295.D                   Vial: 1
 Acq On       7 Dec 16 14:37                           Operator:
 Sample     : Floris D melanogaster 10 X conc          Inst    : GC/MS Ins
 Misc       : Chung 2                                 Multiplr: 1.00 
                                                  Sample Amount: 0.00
 MS Integration Params: EVENTS.E

 Method     : C:\HPCHEM\1\METHODS\40110280.M (Chemstation Integrator)
 Title

 Signal     : TIC

peak  R.T.  first max last  PK    peak      raw       corr.   corr.    % of 
      min   scan scan scan  TY   height     area      area    % max.   total

 1  11.522  1003 1014  1032 PV3   74091   2277013   2153394   2.92%   0.384%
 2  13.317  1279 1297  1308 PV4   59897   1979094   1838545   2.49%   0.328%
 3  14.352  1448 1460  1484 BV2   45708   1661265   1509521   2.05%   0.269%
 4  15.208  1569 1595  1609 PV    1187352  39709521  39541868  53.61%   7.058%
 5  15.367  1609 1620  1640 VV2  857094  29759084  29363303  39.81%   5.241%
 6  15.551  1640 1649  1661 VV3   69306   2699424   2533310   3.43%   0.452%
 7  15.722  1661 1676  1696 VV3   93575   3606452   3408274   4.62%   0.608%
 8  17.061  1873 1887  1898 BV6   52788   2288944   2181447   2.96%   0.389%
 9  17.169  1898 1904  1911 VV5   37680   1362906   1247855   1.69%   0.223%
10  17.245  1911 1916  1925 VV9   17781    659412    554346   0.75%   0.099%
11  18.114  2038 2053  2079 PV3  361086  12647797  12463615  16.90%   2.225%
12  18.996  2165 2192  2194 PV2 1019231  29832110  29705177  40.27%   5.302%
13  19.021  2194 2196  2210 VV4 1008389  32194874  29168799  39.55%   5.206%
14  19.174  2210 2220  2227 VV2  695782  24941210  24497556  33.21%   4.373%
15  19.243  2227 2231  2244 VV6  312496  12494594  11540071  15.65%   2.060%
16  19.491  2262 2270  2287 VV8   43101   2440828   2232286   3.03%   0.398%
17  19.967  2333 2345  2360 PV7   20174   1045762    929434   1.26%   0.166%
18  20.182  2369 2379  2410 VV7   27156   1712001   1518330   2.06%   0.271%
19  20.804  2453 2477  2489 BV6   33196   1762568   1599978   2.17%   0.286%
20  20.937  2492 2498  2504 VV6   17600    662858    576184   0.78%   0.103%
21  21.109  2515 2525  2537 VV6   24160   1078550    933915   1.27%   0.167%
22  21.851  2620 2642  2686 PV2 1474104  59075642  58791598  79.71%  10.494%
23  22.657  2739 2769  2773 PV2  283794  12384384  12224610  16.57%   2.182%
24  22.733  2773 2781  2796 VV3  384594  20777150  19636904  26.62%   3.505%
25  22.898  2796 2807  2810 VV3  387105  12435893  12161477  16.49%   2.171%
26  22.993  2810 2822  2849 VV2 1583129  76804759  73757120 100.00%  13.165%
27  23.203  2849 2855  2881 VV5   93827   5380993   4865959   6.60%   0.869%
28  23.596  2901 2917  2937 BV10   17424   1039231    809821   1.10%   0.145%
29  23.875  2949 2961  2978 PV10   14696    704317    538855   0.73%   0.096%
30  24.376  3019 3040  3052 BV10   12009    662086    496400   0.67%   0.089%
31  24.636  3071 3081  3088 PV10   12826    548610    444822   0.60%   0.079%
32  24.732  3088 3096  3110 VV10   21487    858083    693004   0.94%   0.124%
33  25.385  3175 3199  3236 PV  1199128  55950581  55647857  75.450   9.932%
34  25.626  3236 3237  3252 VV    19316    766671    585885   0.79%   0.105%
35  26.115  3292 3314  3325 PV4  101316   6530236   6320481   8.57%   1.128%
36  26.235  3325 3333  3337 VV6   80160   3215541   3038571   4.12%   0.542%
37   26.286  3337 3341 3349  VV6   69074    3163638   2944031    3.99%   0.525%
38   26.394  3349 3358 3365  VV4  136495    6294166   5998305    8.13%   1.071%
39   26.521  3365 3378 3410  VV3  921809  46319432   45189470   61.27%   8.066%
40   27.974  3599 3607 3626  VV3   21751    1046250    825230    1.12%   0.147%
41   28.691  3700 3720 3766  PV   419736  24476009   24109922   32.69%   4.303%
42   28.995  3766 3768 3770  VV3   21838     294241    258362    0.35%   0.046%
43   29.014  3770 3771 3784  VV3   18348     806918    670574    0.91%   0.120%
44   29.376  3813 3828 3832  PV8   73719    3038991   2895280    3.93%   0.517%
45   29.433  3832 3837 3846  VV9   83623    3787487   3493087    4.74%   0.623%
46   29.560  3846 3857 3868  VV6  161598    8479343   8102347   10.99%   1.446%
47   29.642  3868 3870 3884  VV6   68612    3591136   3233846    4.38%   0.577%
48   29.820  3890 3898 3916  VV6   35364    2208556   1839737    2.49%   0.328%
49   31.800  4200 4210 4219  PV4   21635     818975    704987    0.96%   0.126%
50   32.491  4300 4319 4324  PV10   29978    1356039   1210455    1.64%   0.216%
51   32.580  4324 4333 4341  VV5   65144    2988055   2768704    3.75%   0.494%
52   32.688  4341 4350 4353  VV5   49991    2051573   1863978    2.53%   0.333%
53   32.713  4353 4354 4363  VV9   45058    1557103   1377958    1.87%   0.246%
54   32.783  4363 4365 4378  VV9   29020    1272121   1027302    1.39%   0.183%
55   35.987  4845 4870 4882  VV9   29145    2108893   1808885    2.45%   0.323%
56   36.114  4882 4890 4898  VB9    9696     585751    428601    0.58%   0.077%
